Claim_ID,Customer_ID,Vehicle_ID,Claim_Amount,Claim_Date,Claim_Type
53,115266,115266,10000,06-01-2025,1
54,546703,546703,10000,07-07-2025,1
55,590529,590529,10000,20-02-2025,1
56,353104,353104,10000,14-09-2025,1
57,475786,475786,10000,14-04-2025,1
58,85847,85847,10000,07-04-2025,1
59,428282,428282,10000,28-09-2025,1
60,843761,843761,10000,21-08-2025,1
61,103282,103282,10000,21-04-2025,1
62,491150,491150,10000,07-12-2025,1
63,655561,655561,10000,14-06-2025,1
64,145721,145721,10000,20-02-2025,1
65,308871,308871,10000,28-06-2025,1
66,614554,614554,10000,07-07-2025,1
67,992133,992133,10000,14-06-2025,1
68,891557,891557,10000,21-06-2025,1
69,324827,324827,10000,28-06-2025,1
70,144805,144805,10000,20-01-2025,1
71,231312,231312,10000,14-06-2025,1
72,476191,476191,10000,07-10-2025,1
73,699322,699322,10000,07-10-2025,1
74,54925,54925,10000,13-02-2025,1
75,507193,507193,10000,13-01-2025,1
76,756132,756132,10000,07-12-2025,1
77,367360,367360,10000,21-10-2025,1
78,509803,509803,10000,21-09-2025,1
79,891462,891462,10000,06-01-2025,1
80,200974,200974,10000,14-11-2025,1
81,39206,39206,10000,28-03-2025,1
82,129021,129021,10000,14-07-2025,1
83,762086,762086,10000,14-03-2025,1
84,414349,414349,10000,28-05-2025,1
85,392613,392613,10000,20-01-2025,1
86,901647,901647,10000,14-09-2025,1
87,996048,996048,10000,14-10-2025,1
88,698383,698383,10000,21-10-2025,1
89,365600,365600,10000,07-11-2025,1
90,971199,971199,10000,28-09-2025,1
91,971473,971473,10000,21-06-2025,1
92,889951,889951,10000,27-02-2025,1
93,346812,346812,10000,21-09-2025,1
94,312356,312356,10000,14-06-2025,1
95,997768,997768,10000,13-01-2025,1
96,773437,773437,10000,28-12-2025,1
97,572567,572567,10000,07-11-2025,1
98,503709,503709,10000,28-03-2025,1
99,893297,893297,10000,06-01-2025,1
100,547290,547290,10000,21-05-2025,1
101,874292,874292,10000,14-11-2025,1
102,867504,867504,10000,07-08-2025,1
103,319872,319872,10000,14-06-2025,1
104,618240,618240,10000,21-09-2025,1
105,862235,862235,10000,07-05-2025,1
106,62640,62640,10000,21-04-2025,1
107,539975,539975,10000,07-04-2025,1
108,673409,673409,10000,21-04-2025,1
109,215953,215953,10000,20-01-2025,1
110,771134,771134,10000,14-06-2025,1
111,393985,393985,10000,21-05-2025,1
112,386958,386958,10000,07-04-2025,1
113,975263,975263,10000,07-11-2025,1
114,953458,953458,10000,07-11-2025,1
115,279706,279706,10000,14-09-2025,1
116,824970,824970,10000,28-12-2025,1
117,718659,718659,10000,14-06-2025,1
118,7219,7219,10000,14-06-2025,1
119,47874,47874,10000,28-08-2025,1
120,401789,401789,10000,28-07-2025,1
121,552719,552719,10000,07-07-2025,1
122,976831,976831,10000,28-09-2025,1
123,583792,583792,10000,07-04-2025,1
124,966523,966523,10000,14-06-2025,1
125,734623,734623,10000,28-08-2025,1
126,339796,339796,10000,14-05-2025,1
127,385394,385394,10000,21-11-2025,1
128,737136,737136,10000,07-07-2025,1
129,63346,63346,10000,14-06-2025,1
130,511765,511765,10000,14-10-2025,1
131,256815,256815,10000,07-06-2025,1
132,508086,508086,10000,07-11-2025,1
133,313230,313230,10000,21-09-2025,1
134,815617,815617,10000,27-02-2025,1
135,906866,906866,10000,07-10-2025,1
136,602623,602623,10000,07-08-2025,1
137,34571,34571,10000,20-02-2025,1
138,230617,230617,10000,07-11-2025,1
139,119007,119007,10000,28-03-2025,1
140,922749,922749,10000,21-04-2025,1
141,124381,124381,10000,21-03-2025,1
142,400464,400464,10000,14-08-2025,1
143,810773,810773,10000,14-11-2025,1
144,171831,171831,10000,21-06-2025,1
145,947649,947649,10000,07-11-2025,1
146,268044,268044,10000,21-11-2025,1
147,45425,45425,10000,07-10-2025,1
148,644814,644814,10000,21-04-2025,1
149,411733,411733,10000,21-03-2025,1
150,914497,914497,10000,07-12-2025,1
151,226097,226097,10000,14-04-2025,1
152,483388,483388,10000,14-12-2025,1
153,426191,426191,10000,13-01-2025,1
154,277648,277648,10000,20-02-2025,1
155,503652,503652,10000,21-12-2025,1
156,635026,635026,10000,13-02-2025,1
157,256112,256112,10000,28-06-2025,1
158,107331,107331,10000,21-03-2025,1
159,507582,507582,10000,07-10-2025,1
160,642165,642165,10000,28-09-2025,1
161,5423,5423,10000,21-06-2025,1
162,441262,441262,10000,21-09-2025,1
163,348063,348063,10000,14-04-2025,1
164,205478,205478,10000,28-06-2025,1
165,806574,806574,10000,20-02-2025,1
166,982017,982017,10000,06-02-2025,1
167,699452,699452,10000,14-03-2025,1
168,350392,350392,10000,13-02-2025,1
169,80855,80855,10000,21-11-2025,1
170,859845,859845,10000,07-12-2025,1
171,245380,245380,10000,28-12-2025,1
172,646514,646514,10000,21-08-2025,1
173,632125,632125,10000,07-11-2025,1
174,822337,822337,10000,21-08-2025,1
175,148815,148815,10000,28-11-2025,1
176,146018,146018,10000,13-01-2025,1
177,298111,298111,10000,21-08-2025,1
178,653407,653407,10000,21-05-2025,1
179,22896,22896,10000,28-10-2025,1
180,292594,292594,10000,21-04-2025,1
181,288773,288773,10000,14-08-2025,1
182,76377,76377,10000,14-10-2025,1
183,423312,423312,10000,28-09-2025,1
184,454198,454198,10000,07-08-2025,1
185,287466,287466,10000,21-09-2025,1
186,333992,333992,10000,28-05-2025,1
187,561640,561640,10000,07-12-2025,1
188,148171,148171,10000,06-02-2025,1
189,149732,149732,10000,28-12-2025,1
190,242921,242921,10000,27-01-2025,1
191,498573,498573,10000,21-09-2025,1
192,48658,48658,10000,07-12-2025,1
193,750453,750453,10000,28-12-2025,1
194,272848,272848,10000,21-12-2025,1
195,603381,603381,10000,07-08-2025,1
196,662741,662741,10000,21-05-2025,1
197,977684,977684,10000,28-09-2025,1
198,565200,565200,10000,14-03-2025,1
199,135076,135076,10000,20-02-2025,1
200,322130,322130,10000,07-09-2025,1
201,334081,334081,10000,14-04-2025,1
202,696285,696285,10000,14-12-2025,1
203,930727,930727,10000,28-10-2025,1
204,775315,775315,10000,07-06-2025,1
205,821865,821865,10000,14-12-2025,1
206,874560,874560,10000,27-02-2025,1
207,331022,331022,10000,07-05-2025,1
208,53006,53006,10000,20-02-2025,1
209,675631,675631,10000,28-04-2025,1
210,556497,556497,10000,21-11-2025,1
211,978579,978579,10000,14-03-2025,1
212,813204,813204,10000,07-08-2025,1
213,627999,627999,10000,07-10-2025,1
214,805949,805949,10000,14-10-2025,1
215,241269,241269,10000,28-09-2025,1
216,6649,6649,10000,14-09-2025,1
217,593367,593367,10000,14-12-2025,1
218,82494,82494,10000,14-06-2025,1
219,984882,984882,10000,28-05-2025,1
220,67329,67329,10000,14-10-2025,1
221,593419,593419,10000,06-01-2025,1
222,903590,903590,10000,28-07-2025,1
223,288724,288724,10000,20-02-2025,1
224,988251,988251,10000,21-12-2025,1
225,801805,801805,10000,14-08-2025,1
226,580340,580340,10000,21-03-2025,1
227,970926,970926,10000,14-06-2025,1
228,94864,94864,10000,14-12-2025,1
229,220699,220699,10000,20-01-2025,1
230,675889,675889,10000,21-11-2025,1
231,567252,567252,10000,07-07-2025,1
232,396039,396039,10000,06-02-2025,1
233,757304,757304,10000,28-11-2025,1
234,973056,973056,10000,13-01-2025,1
235,264651,264651,10000,13-02-2025,1
236,626900,626900,10000,07-10-2025,1
237,466250,466250,10000,28-05-2025,1
238,926296,926296,10000,14-10-2025,1
239,240476,240476,10000,07-04-2025,1
240,678652,678652,10000,14-06-2025,1
241,560855,560855,10000,20-01-2025,1
242,377634,377634,10000,14-07-2025,1
243,694245,694245,10000,07-10-2025,1
244,379308,379308,10000,21-04-2025,1
245,137962,137962,10000,07-12-2025,1
246,861440,861440,10000,21-12-2025,1
247,872905,872905,10000,06-02-2025,1
248,707983,707983,10000,07-09-2025,1
249,127387,127387,10000,28-10-2025,1
250,692808,692808,10000,14-04-2025,1
251,995744,995744,10000,21-03-2025,1
252,455502,455502,10000,07-03-2025,1
253,642875,642875,10000,28-10-2025,1
254,579647,579647,10000,21-06-2025,1
255,528808,528808,10000,14-09-2025,1
256,306911,306911,10000,07-06-2025,1
257,665458,665458,10000,07-06-2025,1
258,555071,555071,10000,06-02-2025,1
259,797398,797398,10000,28-09-2025,1
260,643604,643604,10000,14-08-2025,1
261,564388,564388,10000,21-08-2025,1
262,631958,631958,10000,13-01-2025,1
263,529616,529616,10000,21-09-2025,1
264,99495,99495,10000,14-06-2025,1
265,817786,817786,10000,07-03-2025,1
266,313849,313849,10000,14-09-2025,1
267,628084,628084,10000,14-09-2025,1
268,676471,676471,10000,28-08-2025,1
269,753889,753889,10000,21-03-2025,1
270,488338,488338,10000,07-04-2025,1
271,528074,528074,10000,28-05-2025,1
272,175555,175555,10000,20-02-2025,1
273,105592,105592,10000,20-01-2025,1
274,47503,47503,10000,20-01-2025,1
275,547421,547421,10000,28-05-2025,1
276,892800,892800,10000,14-08-2025,1
277,49119,49119,10000,27-02-2025,1
278,128765,128765,10000,20-02-2025,1
279,358779,358779,10000,20-01-2025,1
280,599863,599863,10000,28-04-2025,1
281,652740,652740,10000,28-12-2025,1
282,273347,273347,10000,20-01-2025,1
283,929492,929492,10000,07-11-2025,1
284,540039,540039,10000,07-05-2025,1
285,35122,35122,10000,28-03-2025,1
286,64883,64883,10000,21-09-2025,1
287,452838,452838,10000,07-08-2025,1
288,323663,323663,10000,28-03-2025,1
289,539368,539368,10000,21-09-2025,1
290,892333,892333,10000,28-12-2025,1
291,295098,295098,10000,13-01-2025,1
292,48325,48325,10000,28-09-2025,1
293,779321,779321,10000,21-06-2025,1
294,718200,718200,10000,07-11-2025,1
295,346109,346109,10000,21-10-2025,1
296,512791,512791,10000,07-07-2025,1
297,710309,710309,10000,14-07-2025,1
298,452706,452706,10000,21-09-2025,1
299,495626,495626,10000,28-09-2025,1
300,618689,618689,10000,21-09-2025,1
301,915360,915360,10000,28-04-2025,1
302,297549,297549,10000,07-12-2025,1
303,992018,992018,10000,21-08-2025,1
304,924196,924196,10000,21-06-2025,1
305,192396,192396,10000,14-05-2025,1
306,930112,930112,10000,13-02-2025,1
307,629954,629954,10000,14-06-2025,1
308,963152,963152,10000,07-12-2025,1
309,30833,30833,10000,21-10-2025,1
310,802883,802883,10000,07-10-2025,1
311,475243,475243,10000,27-02-2025,1
312,55789,55789,10000,20-01-2025,1
313,198216,198216,10000,28-05-2025,1
314,298478,298478,10000,07-07-2025,1
315,699010,699010,10000,28-10-2025,1
316,4679,4679,10000,13-02-2025,1
317,978067,978067,10000,28-09-2025,1
318,232738,232738,10000,14-11-2025,1
319,823416,823416,10000,14-07-2025,1
320,757309,757309,10000,06-02-2025,1
321,350190,350190,10000,07-07-2025,1
322,541909,541909,10000,21-06-2025,1
323,4772,4772,10000,28-08-2025,1
324,577304,577304,10000,28-05-2025,1
325,1423,1423,10000,21-11-2025,1
326,234989,234989,10000,28-03-2025,1
327,662823,662823,10000,27-02-2025,1
328,934330,934330,10000,07-03-2025,1
329,229646,229646,10000,07-06-2025,1
330,753995,753995,10000,14-12-2025,1
331,160654,160654,10000,21-12-2025,1
332,480445,480445,10000,28-08-2025,1
333,164689,164689,10000,14-09-2025,1
334,518685,518685,10000,21-06-2025,1
335,280176,280176,10000,28-05-2025,1
336,970992,970992,10000,21-05-2025,1
337,919075,919075,10000,06-01-2025,1
338,121156,121156,10000,14-08-2025,1
339,751552,751552,10000,28-12-2025,1
340,166789,166789,10000,20-01-2025,1
341,418553,418553,10000,07-04-2025,1
342,152932,152932,10000,21-04-2025,1
343,138512,138512,10000,28-05-2025,1
344,721657,721657,10000,07-04-2025,1
345,709952,709952,10000,21-06-2025,1
346,262313,262313,10000,14-12-2025,1
347,19292,19292,10000,28-08-2025,1
348,968717,968717,10000,07-09-2025,1
349,969773,969773,10000,14-08-2025,1
350,752306,752306,10000,21-09-2025,1
351,645369,645369,10000,28-10-2025,1
352,867718,867718,10000,21-11-2025,1
353,123765,123765,10000,21-10-2025,1
354,201204,201204,10000,27-02-2025,1
355,819790,819790,10000,14-06-2025,1
356,459094,459094,10000,14-03-2025,1
357,394376,394376,10000,27-01-2025,1
358,199203,199203,10000,07-11-2025,1
359,915522,915522,10000,14-09-2025,1
360,88234,88234,10000,21-12-2025,1
361,346002,346002,10000,14-07-2025,1
362,987686,987686,10000,28-08-2025,1
363,101741,101741,10000,14-08-2025,1
364,258510,258510,10000,14-10-2025,1
365,314849,314849,10000,06-01-2025,1
366,416956,416956,10000,21-05-2025,1
367,370733,370733,10000,21-10-2025,1
368,517441,517441,10000,21-09-2025,1
369,530373,530373,10000,07-11-2025,1
370,300170,300170,10000,14-11-2025,1
371,51743,51743,10000,14-04-2025,1
372,536924,536924,10000,14-08-2025,1
373,406571,406571,10000,14-07-2025,1
374,199626,199626,10000,14-11-2025,1
375,91523,91523,10000,21-09-2025,1
376,676859,676859,10000,21-05-2025,1
377,859126,859126,10000,14-11-2025,1
378,754768,754768,10000,28-04-2025,1
379,673827,673827,10000,20-01-2025,1
380,677965,677965,10000,14-05-2025,1
381,81419,81419,10000,21-05-2025,1
382,679030,679030,10000,28-09-2025,1
383,248866,248866,10000,28-08-2025,1
384,890656,890656,10000,28-11-2025,1
385,750375,750375,10000,07-08-2025,1
386,287783,287783,10000,14-05-2025,1
387,951439,951439,10000,21-12-2025,1
388,856144,856144,10000,21-07-2025,1
389,39114,39114,10000,06-01-2025,1
390,466180,466180,10000,28-06-2025,1
391,934287,934287,10000,21-12-2025,1
392,921267,921267,10000,14-07-2025,1
393,848890,848890,10000,20-01-2025,1
394,28196,28196,10000,07-06-2025,1
395,10720,10720,10000,13-02-2025,1
396,925611,925611,10000,27-02-2025,1
397,469549,469549,10000,28-06-2025,1
398,36454,36454,10000,28-11-2025,1
399,781508,781508,10000,14-07-2025,1
400,109744,109744,10000,21-10-2025,1
401,71098,71098,10000,14-09-2025,1
402,417394,417394,10000,27-02-2025,1
403,718391,718391,10000,28-05-2025,1
404,608331,608331,10000,14-07-2025,1
405,43461,43461,10000,28-07-2025,1
406,876021,876021,10000,07-03-2025,1
407,370069,370069,10000,27-01-2025,1
408,722070,722070,10000,07-09-2025,1
409,163057,163057,10000,20-01-2025,1
410,304826,304826,10000,28-11-2025,1
411,568787,568787,10000,14-10-2025,1
412,926204,926204,10000,07-03-2025,1
413,970641,970641,10000,07-08-2025,1
414,134491,134491,10000,07-12-2025,1
415,181994,181994,10000,07-07-2025,1
416,33324,33324,10000,21-11-2025,1
417,12862,12862,10000,28-04-2025,1
418,305793,305793,10000,14-11-2025,1
419,227986,227986,10000,21-10-2025,1
420,465500,465500,10000,20-01-2025,1
421,578932,578932,10000,28-03-2025,1
422,980857,980857,10000,28-11-2025,1
423,199590,199590,10000,14-03-2025,1
424,303154,303154,10000,14-12-2025,1
425,521474,521474,10000,14-11-2025,1
426,634506,634506,10000,07-12-2025,1
427,243641,243641,10000,28-09-2025,1
428,783665,783665,10000,21-06-2025,1
429,958204,958204,10000,20-01-2025,1
430,174500,174500,10000,28-09-2025,1
431,193154,193154,10000,14-08-2025,1
432,669004,669004,10000,14-04-2025,1
433,736291,736291,10000,07-10-2025,1
434,565887,565887,10000,20-01-2025,1
435,531647,531647,10000,07-11-2025,1
436,860046,860046,10000,21-09-2025,1
437,849545,849545,10000,13-02-2025,1
438,750541,750541,10000,28-10-2025,1
439,846959,846959,10000,20-02-2025,1
440,109930,109930,10000,28-08-2025,1
441,704144,704144,10000,28-09-2025,1
442,878015,878015,10000,28-05-2025,1
443,870876,870876,10000,07-05-2025,1
444,93159,93159,10000,14-08-2025,1
445,384895,384895,10000,21-05-2025,1
446,676491,676491,10000,13-01-2025,1
447,832485,832485,10000,28-09-2025,1
448,170584,170584,10000,21-08-2025,1
449,544004,544004,10000,14-09-2025,1
450,367331,367331,10000,14-05-2025,1
451,514151,514151,10000,07-06-2025,1
452,712145,712145,10000,14-06-2025,1
453,51427,51427,10000,28-09-2025,1
454,254647,254647,10000,21-10-2025,1
455,442598,442598,10000,21-07-2025,1
456,527547,527547,10000,21-12-2025,1
457,829653,829653,10000,13-02-2025,1
458,493249,493249,10000,07-05-2025,1
459,989689,989689,10000,07-12-2025,1
460,611423,611423,10000,14-12-2025,1
461,108274,108274,10000,14-04-2025,1
462,23054,23054,10000,21-04-2025,1
463,533639,533639,10000,20-01-2025,1
464,242658,242658,10000,07-11-2025,1
465,767492,767492,10000,14-04-2025,1
466,252631,252631,10000,21-04-2025,1
467,912201,912201,10000,14-09-2025,1
468,551324,551324,10000,21-11-2025,1
469,388576,388576,10000,21-09-2025,1
470,2408,2408,10000,07-06-2025,1
471,213427,213427,10000,06-01-2025,1
472,620779,620779,10000,28-09-2025,1
473,829710,829710,10000,28-10-2025,1
474,271357,271357,10000,14-09-2025,1
475,489859,489859,10000,14-12-2025,1
476,397550,397550,10000,14-06-2025,1
477,93855,93855,10000,06-02-2025,1
478,307434,307434,10000,14-07-2025,1
479,668098,668098,10000,28-10-2025,1
480,813675,813675,10000,21-11-2025,1
481,297487,297487,10000,06-01-2025,1
482,522459,522459,10000,14-11-2025,1
483,293091,293091,10000,07-11-2025,1
484,927602,927602,10000,21-06-2025,1
485,630108,630108,10000,28-12-2025,1
486,133911,133911,10000,13-02-2025,1
487,763020,763020,10000,27-02-2025,1
488,300990,300990,10000,28-06-2025,1
489,46561,46561,10000,07-08-2025,1
490,978181,978181,10000,07-03-2025,1
491,13676,13676,10000,06-01-2025,1
492,591749,591749,10000,28-08-2025,1
493,201942,201942,10000,13-01-2025,1
494,635061,635061,10000,07-09-2025,1
495,588492,588492,10000,28-08-2025,1
496,553277,553277,10000,27-02-2025,1
497,515144,515144,10000,21-04-2025,1
498,228340,228340,10000,14-06-2025,1
499,245078,245078,10000,07-10-2025,1
500,361222,361222,10000,07-07-2025,1
501,668223,668223,10000,27-02-2025,1
502,21334,21334,10000,14-05-2025,1
503,943695,943695,10000,07-08-2025,1
504,186292,186292,10000,14-08-2025,1
505,841033,841033,10000,21-03-2025,1
506,915849,915849,10000,21-04-2025,1
507,236532,236532,10000,21-06-2025,1
508,84662,84662,10000,07-10-2025,1
509,913296,913296,10000,07-05-2025,1
510,451695,451695,10000,07-05-2025,1
511,957685,957685,10000,21-08-2025,1
512,443260,443260,10000,14-05-2025,1
513,632596,632596,10000,28-11-2025,1
514,536784,536784,10000,21-04-2025,1
515,11909,11909,10000,21-06-2025,1
516,460207,460207,10000,14-12-2025,1
517,424444,424444,10000,07-06-2025,1
518,233501,233501,10000,07-07-2025,1
519,655212,655212,10000,14-08-2025,1
520,48173,48173,10000,07-11-2025,1
521,840389,840389,10000,27-02-2025,1
522,494832,494832,10000,07-07-2025,1
523,15721,15721,10000,07-04-2025,1
524,590617,590617,10000,28-08-2025,1
525,958790,958790,10000,07-09-2025,1
526,821496,821496,10000,28-09-2025,1
527,826826,826826,10000,21-11-2025,1
528,480255,480255,10000,14-06-2025,1
529,566749,566749,10000,21-04-2025,1
530,81016,81016,10000,21-07-2025,1
531,2573,2573,10000,28-12-2025,1
532,25623,25623,10000,07-03-2025,1
533,953672,953672,10000,07-11-2025,1
534,500174,500174,10000,07-03-2025,1
535,119116,119116,10000,14-08-2025,1
536,780180,780180,10000,21-11-2025,1
537,849226,849226,10000,21-05-2025,1
538,497697,497697,10000,07-11-2025,1
539,663144,663144,10000,27-01-2025,1
540,969393,969393,10000,28-07-2025,1
541,541308,541308,10000,13-01-2025,1
542,855137,855137,10000,28-07-2025,1
543,547296,547296,10000,21-04-2025,1
544,94006,94006,10000,07-08-2025,1
545,589661,589661,10000,14-09-2025,1
546,128255,128255,10000,07-11-2025,1
547,587761,587761,10000,21-06-2025,1
548,698785,698785,10000,14-07-2025,1
549,179508,179508,10000,07-03-2025,1
550,205158,205158,10000,07-11-2025,1
551,792877,792877,10000,14-12-2025,1
552,463493,463493,10000,13-01-2025,1
553,373952,373952,10000,28-04-2025,1
554,98693,98693,10000,28-09-2025,1
555,50059,50059,10000,21-09-2025,1
556,695303,695303,10000,21-04-2025,1
557,234029,234029,10000,06-02-2025,1
558,835862,835862,10000,14-09-2025,1
559,583329,583329,10000,07-10-2025,1
560,78871,78871,10000,21-04-2025,1
561,842950,842950,10000,28-03-2025,1
562,871572,871572,10000,07-06-2025,1
563,768940,768940,10000,20-02-2025,1
564,455506,455506,10000,07-08-2025,1
565,884035,884035,10000,07-06-2025,1
566,523216,523216,10000,14-12-2025,1
567,845717,845717,10000,07-06-2025,1
568,385768,385768,10000,14-08-2025,1
569,179126,179126,10000,07-12-2025,1
570,265563,265563,10000,14-07-2025,1
571,144558,144558,10000,21-06-2025,1
572,431335,431335,10000,07-11-2025,1
573,905370,905370,10000,13-01-2025,1
574,449441,449441,10000,21-03-2025,1
575,962471,962471,10000,27-02-2025,1
576,510291,510291,10000,28-03-2025,1
577,39532,39532,10000,07-06-2025,1
578,710635,710635,10000,21-11-2025,1
579,436521,436521,10000,21-08-2025,1
580,85609,85609,10000,28-04-2025,1
581,838711,838711,10000,13-02-2025,1
582,280350,280350,10000,28-07-2025,1
583,640460,640460,10000,13-01-2025,1
584,93054,93054,10000,07-07-2025,1
585,91625,91625,10000,21-03-2025,1
586,436228,436228,10000,20-01-2025,1
587,544880,544880,10000,07-08-2025,1
588,484834,484834,10000,14-08-2025,1
589,303269,303269,10000,21-12-2025,1
590,638108,638108,10000,20-02-2025,1
591,844195,844195,10000,21-06-2025,1
592,50873,50873,10000,21-04-2025,1
593,623894,623894,10000,14-07-2025,1
594,105100,105100,10000,21-08-2025,1
595,966222,966222,10000,07-06-2025,1
596,323487,323487,10000,21-11-2025,1
597,484877,484877,10000,14-07-2025,1
598,230136,230136,10000,14-03-2025,1
599,957191,957191,10000,27-02-2025,1
600,410562,410562,10000,07-03-2025,1
601,105692,105692,10000,13-02-2025,1
602,481692,481692,10000,14-05-2025,1
603,180543,180543,10000,07-11-2025,1
604,880970,880970,10000,21-06-2025,1
605,894304,894304,10000,06-02-2025,1
606,243447,243447,10000,28-04-2025,1
607,478893,478893,10000,21-05-2025,1
608,32353,32353,10000,21-11-2025,1
609,704322,704322,10000,21-07-2025,1
610,139234,139234,10000,21-08-2025,1
611,692742,692742,10000,14-11-2025,1
612,217305,217305,10000,27-02-2025,1
613,29466,29466,10000,21-10-2025,1
614,727026,727026,10000,07-03-2025,1
615,761214,761214,10000,20-02-2025,1
616,865087,865087,10000,21-06-2025,1
617,404489,404489,10000,28-06-2025,1
618,181165,181165,10000,07-04-2025,1
619,807082,807082,10000,07-12-2025,1
620,104543,104543,10000,21-12-2025,1
621,975743,975743,10000,28-09-2025,1
622,890565,890565,10000,07-03-2025,1
623,4254,4254,10000,07-07-2025,1
624,628356,628356,10000,21-09-2025,1
625,372210,372210,10000,28-11-2025,1
626,281442,281442,10000,27-02-2025,1
627,927020,927020,10000,20-01-2025,1
628,493988,493988,10000,13-01-2025,1
629,612094,612094,10000,14-06-2025,1
630,618799,618799,10000,21-04-2025,1
631,686199,686199,10000,21-09-2025,1
632,743678,743678,10000,28-12-2025,1
633,624289,624289,10000,06-01-2025,1
634,314903,314903,10000,28-04-2025,1
635,435085,435085,10000,14-11-2025,1
636,926095,926095,10000,21-06-2025,1
637,960693,960693,10000,13-01-2025,1
638,552713,552713,10000,21-10-2025,1
639,893783,893783,10000,07-03-2025,1
640,371703,371703,10000,07-10-2025,1
641,997819,997819,10000,21-05-2025,1
642,233770,233770,10000,14-03-2025,1
643,816291,816291,10000,28-09-2025,1
644,471530,471530,10000,21-11-2025,1
645,832875,832875,10000,13-02-2025,1
646,449201,449201,10000,20-02-2025,1
647,742750,742750,10000,07-03-2025,1
648,818048,818048,10000,06-02-2025,1
649,667719,667719,10000,20-01-2025,1
650,514278,514278,10000,28-10-2025,1
651,393191,393191,10000,21-07-2025,1
652,798247,798247,10000,14-08-2025,1
653,805960,805960,10000,07-11-2025,1
654,182271,182271,10000,13-02-2025,1
655,844939,844939,10000,06-02-2025,1
656,297066,297066,10000,21-04-2025,1
657,352743,352743,10000,20-01-2025,1
658,453281,453281,10000,07-11-2025,1
659,795962,795962,10000,14-05-2025,1
660,381892,381892,10000,27-01-2025,1
661,863447,863447,10000,21-08-2025,1
662,7781,7781,10000,14-09-2025,1
663,185875,185875,10000,07-07-2025,1
664,427600,427600,10000,07-12-2025,1
665,288758,288758,10000,07-09-2025,1
666,804744,804744,10000,14-06-2025,1
667,865516,865516,10000,06-02-2025,1
668,407041,407041,10000,20-02-2025,1
669,894499,894499,10000,07-03-2025,1
670,549431,549431,10000,14-08-2025,1
671,825929,825929,10000,28-12-2025,1
672,109318,109318,10000,28-07-2025,1
673,947530,947530,10000,21-08-2025,1
674,22174,22174,10000,21-11-2025,1
675,776316,776316,10000,14-08-2025,1
676,989106,989106,10000,07-12-2025,1
677,73446,73446,10000,14-07-2025,1
678,498209,498209,10000,28-11-2025,1
679,648848,648848,10000,27-02-2025,1
680,122915,122915,10000,28-05-2025,1
681,977877,977877,10000,28-07-2025,1
682,350843,350843,10000,14-12-2025,1
683,625052,625052,10000,07-06-2025,1
684,274676,274676,10000,13-02-2025,1
685,541978,541978,10000,07-03-2025,1
686,933271,933271,10000,14-05-2025,1
687,974764,974764,10000,28-07-2025,1
688,433828,433828,10000,28-10-2025,1
689,749454,749454,10000,28-04-2025,1
690,301733,301733,10000,28-10-2025,1
691,602950,602950,10000,28-06-2025,1
692,821876,821876,10000,21-08-2025,1
693,925119,925119,10000,21-09-2025,1
694,42881,42881,10000,14-05-2025,1
695,426145,426145,10000,07-09-2025,1
